transaction number,account number,card number,amount,transaction status,date,time
EC1E1154-F6D7-2BBB-7734-D3C49682338D,SM0922778511567857439826070,633422 84 6584 2977 856,817,success,26-09-2018,03:59
CC83BE46-92BA-B6C5-68B7-312A3E3E4B62,SA8816660585098652613843,6.76776E+18,822,fail,24-01-2019,14:23
58A5F951-BFFE-2D4C-8C73-FB0C0102B68C,RS35076354713429332414,3.62761E+14,123,success,24-01-2020,23:15
7316AD79-CCF4-8BC3-A74B-1AECE6A7B39E,CR0553235968126443687,5.01884E+18,895,fail,28-11-2018,03:09
7A03059C-184E-BC33-315D-CA8A2C2358F1,CH2968187742811231300,6.45756E+15,928,success,06-06-2019,16:09
F642B2C5-A938-5A18-B99D-EB2C75E9DB64,TR585754433383328427924545,6.33458E+15,106,fail,12-07-2019,09:09
C45D32C6-DE78-424E-15B4-A7E86872678C,BE75696850973836,2149 728433 76660,153,success,21-05-2020,18:02
2B179426-BA99-1BC2-C8D3-4687DBAA759F,IT914KDKPI93730105930306143,539383 778425 5960,715,fail,16-10-2019,13:39
AEAEEEAB-6142-A3BF-3B20-91A1AC7A6ABD,MD7996264501127467708026,514768 4884127767,621,fail,20-11-2020,00:37
CDA92F51-D38E-BFD2-0DE6-517AAE6D4645,EE215421637463874128,2.01455E+14,636,fail,18-02-2020,09:01
429E1145-5CE0-1DE8-3E98-10D3A73C3BE3,GR3531267802358000866263356,633110 83 7649 8626 872,689,fail,10-07-2019,12:22
7E97CA33-A70C-B392-C2A8-8C47D427C62D,BA331503275648564212,6304 6117 5787 8472,426,fail,04-09-2019,11:17
EA9539E4-AC28-6D8E-A6AA-899553E903E8,PT86119455374732073877111,646777 5784251830,972,success,11-10-2019,00:54
282EC704-8D3B-6C43-5CC3-836383D84BB1,LV93CMLI7745269221716,3622 766824 44725,500,success,04-06-2021,16:37
935347DE-8B71-9B74-4C83-35095DA7C682,AZ81651415895844863650697647,6.70952E+18,391,success,22-01-2019,10:24
BDA66F5B-499E-39BB-48B6-6B885F9BF536,SK9284471631185663374710,3.65477E+14,70,success,20-10-2020,17:40
4C2D124C-AB9E-297A-1217-A45C6932931C,KZ567884153934515786,4.48538E+15,879,fail,30-06-2020,05:03
669D4946-3BD4-1153-C237-B2B0149F6341,SA7118165747743091564036,6.30455E+16,790,fail,25-09-2019,12:06
830251FA-ED5A-B7AE-EF82-F95E2123BF01,LU317835502382244703,417500 4234778612,350,success,10-09-2020,10:00
D7930CE5-88A3-C79B-61BA-7CCE6F26A5AB,CH2228285637292380448,4.92998E+15,769,success,25-12-2019,20:00
CBBA175D-66FA-A753-D8A1-324CD9572BE6,LU968582896684274455,5038 4369 8431 6879,61,success,28-02-2021,02:50
7368BE87-2855-DD76-B75C-377E18609B6B,LB28526428375253225737022518,3.68259E+14,917,fail,16-06-2018,09:52
C7474E68-BF89-9B5F-5CBB-C1ABBE52437B,MT52FULV96460850721873059724275,3655 659956 53221,430,fail,23-12-2020,07:34
D5C72539-A353-D48A-1357-CCA4D451794A,KW3696482821240314847956499663,5.01862E+18,403,fail,26-02-2020,11:52
D286D285-6A87-8926-2C54-DFD15CA4C92A,TN2193114457873852455814,3.75437E+14,896,success,09-03-2019,04:06
A31A3BD1-236C-A1B4-ED97-3C17D86D6CB7,BH24454217424532193488,6.55775E+15,165,success,15-05-2020,03:10
F7A6A91E-DB59-8AE9-E7B0-CC2534F8FD99,HR0301186071788429287,630455 218774 7442,651,fail,18-03-2019,12:19
A8BCE749-8B26-7103-08F7-5B4CB6833881,TR112472662741778784725420,2.14955E+14,250,success,28-03-2019,00:42
4A75899C-8AB0-C2BB-E8CA-E867B3BE9CF9,SK5373376226655456410895,670636 5868858329,555,success,01-07-2018,16:21
169D078B-29AC-4227-5C00-B8A48154341A,NL14TWJN9106535575,6.33474E+18,965,success,14-02-2019,14:54
E17D6F1B-04EE-C1EE-9238-FE759430A8A1,KW1311611882184451462222466277,4.175E+15,889,fail,07-02-2019,03:54
9232490D-6358-94A3-326D-342DD2633D25,CH8624849770128592712,450873 274263 2552,597,fail,15-07-2020,23:30
25E2B7EB-20DD-C7EE-EAE1-C9E63E7F81C9,SE3278336349863766316282,491 75242 35291 813,547,success,31-05-2021,17:31
5277E8F4-C679-C457-3C0A-F47E54E94D73,CR5370683846690731782,3687 533574 35984,276,success,02-02-2021,00:21
43D8976B-701D-3D9C-E3F1-677A20DABF44,NO3165188238285,601174 5493643685,191,success,10-11-2018,15:35
EA3FECD9-19E7-8839-2242-BA2D6FE2FAE7,MR8202628108337655427225203,6759 2723 4752 3753,74,success,05-08-2020,12:07
2CCE8273-4A7C-9721-C2A0-4D693A4C23D5,IL542494265775266175484,5.24759E+15,315,success,20-11-2020,19:35
5769029C-601A-804B-3B36-0598438E9412,GB06KBCM91240223027673,402624 3783338359,939,success,11-03-2020,12:52
CD1AB45C-F2D4-C641-E62B-6CE49DB9CCB3,LB16528411484141616818440233,553 56574 27219 234,137,fail,05-06-2021,20:55
56DBBD73-5F71-3227-377D-B476C91CAC4E,DO62071604972874951223343306,3622 322354 51428,563,success,02-08-2018,06:46
55699CB5-E10A-96BA-BA6E-B9604BF743F9,IT813CFYGI51377716631571969,3.64931E+14,399,fail,10-03-2021,23:43
5132E8CA-A6DE-4498-A9DA-318DA6CDEFD1,TN5285118846639627577245,6.76119E+13,780,fail,06-02-2021,05:30
256B753C-D828-3C49-D58B-087258A82013,IE24SCWQ56983582514848,3735 842277 17522,994,success,05-05-2021,13:58
0D625EE9-4C4B-1EA7-7C06-912B2A3115F6,SI52177712766955521,6331 1069 5567 7351,489,fail,19-12-2019,00:37
D45DFE27-35C6-ECE3-0B4A-453521F0D5A9,SA0988141941660201476531,3.74539E+14,992,success,11-05-2021,23:26
1CE844D5-65DA-7A74-1438-BC0767577E86,SK7778575969180048595070,630429 286686 3695,157,fail,03-09-2019,22:58
26A0C761-DBBE-B711-FA95-9642D41C27DE,GT26735190789120115444216304,6487 3229 3869 5590,163,fail,22-11-2020,01:33
BB7C8542-E568-F66E-A752-8BB28E89F20B,SM9436114082689336563356623,531694 818935 9275,147,fail,30-07-2018,21:05
27C6C9DD-5FA3-A626-6657-951C863BABA6,MR7985412822433311355850562,644 45876 83724 611,488,success,31-08-2019,21:16
5F18D210-85A5-84E9-4840-5CFCA5EAED74,PK7003076984465143117883,3.44997E+14,966,success,05-02-2019,18:32
223756D5-D9BC-3C3D-3A85-DD5FD455582C,BE71576659287752,2.01486E+14,944,fail,07-11-2018,19:55
179BEE1E-7895-E4B2-1493-970DB2B4BB8E,TN7032342808253325412958,3486 343637 97564,610,fail,10-02-2020,18:27
3A1FDA3E-8A96-C888-76DE-BD7E38DACF11,MT20OLEW29213394742323051571650,2.01462E+14,215,fail,25-08-2019,22:43
974C9C77-8A29-847C-C6DD-BAD926D2B3B4,MR7754300255758572421716226,6.48252E+15,387,success,30-04-2019,00:36
BCE4165E-F2C1-75B7-547C-968CBB359FCB,AZ39380243308779523279626872,6.33334E+17,499,fail,30-05-2021,06:50
D1141D9A-96E6-C89B-6D26-79DC1EB0C388,MT12NARG81842644695510744889644,6495 6196 2275 3860,680,fail,09-12-2018,06:58
C236C77D-A7C8-F4B2-E155-64594D243679,SM3318325957162174272455242,3009 443322 73266,385,fail,12-10-2020,20:52
75F0B66A-678A-729E-7782-3DCAD110AD27,IS901051218480739028372105,4432 4737 2772 2115,995,success,10-01-2019,18:14
4EDB19BF-56E4-8F95-9B33-A2BC6E585B15,MT74XRMT72134019564633020661468,2014 252336 75568,671,success,20-08-2019,01:48
CA47515F-11EE-BAA1-70F1-76D2D4A79A21,AT895583440298377021,4.93645E+18,588,fail,26-11-2018,22:46
E29E2DD1-46E8-D3AC-8DBE-BD7D2FDD94E8,AL77108141885724236554359158,517 77745 39873 338,911,success,11-03-2021,05:32
754DC92F-D7F4-D9E0-6B5D-39385697D3BA,BA668935914103003617,4.91313E+15,654,success,23-12-2018,14:28
577B2B75-DAE0-737A-CAC8-3462ADB97312,ME32153454618346528144,3028 822878 67377,741,fail,12-03-2019,10:22
6D9A69AA-6E12-52EE-B2B3-1B18ECFE6305,ES1008243203277918473848,3042 438712 14146,148,fail,07-10-2020,13:23
9A3AC243-34A0-2EF2-3417-775BDBE0C21C,LB25995111783716835971996974,490394 7935988824,115,fail,20-05-2019,06:28
01C05CBD-8E11-273A-4264-94CD30DAA582,AE513266542842242951686,3046 123678 73427,929,success,28-01-2019,18:46
513B6C08-24B5-5D88-0C18-542968145935,HU05672314127662361603452331,2.14963E+14,327,success,01-05-2020,22:34
9ABD1721-6514-849A-AA55-B895B4E7166A,MC0411139564767454896784745,3.63822E+14,161,fail,28-12-2019,00:37
32A988E6-2745-E8A9-E3B7-A7D1D3CCBB45,IS464981791178638037925784,3.61465E+14,373,fail,23-07-2019,22:35
B24D5835-1D12-2928-4153-E44A05FBECBD,KZ377276123354850813,2.14929E+14,610,success,14-07-2018,02:07
44C313E4-E6B9-A01E-84C5-3AF494B17EC9,PS249871723057253869477725161,492947 3156312719,311,fail,15-04-2021,22:31
B69A8732-E8B8-5415-5249-D24CBB8B358C,GE52666443182557745238,450 82189 74477 981,408,success,12-11-2018,08:57
5AA5D96D-9A41-B281-DA36-571116F82065,MK68218639162955377,538576 384656 5123,264,success,21-12-2020,12:24
A1245AAB-9C06-2A72-2550-D279D72AD484,DO37850225252004186885896027,3744 467521 28369,608,success,04-06-2019,15:26
0ABBD9AD-689B-287E-EB42-73C8825392A4,LB80581650272245765271175689,450827 393842 3241,236,fail,20-12-2020,11:12
0EF8DF24-88D2-81AD-F6A6-6CEA563694BB,DO48634024587363788584566543,514896 6496288932,415,success,20-04-2021,21:28
55437798-385A-C23C-019A-262BCCA2EE6B,LB59305282526816656157308815,2014 256558 95512,827,success,22-05-2020,09:17
9DC89C7B-AE1C-E16E-A244-AA2D4539E342,IS105553776228741857385658,2.14918E+14,612,fail,02-02-2021,09:27
2562B22D-AD95-8A96-F2BE-97E1817AC517,BE43043281512815,6761 854937 1948,948,success,09-02-2021,02:50
FD0ADE1F-F1E8-D7BB-6754-74EA6C0580DB,SE0358550620494335377884,3.66244E+14,203,fail,19-12-2020,12:02
C6473171-243D-9414-F1D3-AE8CA5942869,FI5168657816361827,6.70632E+18,38,fail,15-04-2020,03:22
1266D9BE-D430-F124-C432-1DC596228469,SK4762184613366945504692,6446 3349 6824 8745,972,fail,16-05-2021,13:07
2CAB23EC-453A-E29D-3AE9-1C2A7B6115B6,IS208310288257248416492312,676 78417 57586 466,485,success,28-09-2019,17:52
BD1469BF-8688-8223-A92C-9B0738D66096,CH4322458066318892377,3683 527855 48284,27,fail,29-11-2019,23:30
1B853A32-011E-2817-87A5-6E475278EBA5,RS78347886123318215216,525839 627436 2814,611,fail,19-07-2019,21:41
D54696CE-B68B-21D0-86CC-54A2A58EC146,LI6268189668760420488,4844 3358 9762 4169,19,fail,07-06-2018,00:58
64F53BDA-8396-9E12-6E34-E368DC71BDDC,LB42525928326600322507774467,3047 584193 22374,598,success,29-01-2021,08:50
E5C5950B-2633-EE9A-F4D2-786CE7B9AC6E,BH08922827257242462923,3.05911E+14,124,fail,10-06-2021,08:06
70A10E31-BD5E-B485-FC1B-9BF708CA38A2,MC5126517275468163773803563,5.89366E+11,898,success,27-05-2021,23:33
D4338D59-1395-CA75-0A9B-29FB8A5FD7DB,PT94293962181606828375733,3.76416E+14,992,success,25-09-2020,06:45
2A38BC66-4C92-7E61-B4BB-567A3954810D,SE7521385465556807733284,3671 667825 74841,622,success,16-09-2018,05:11
E2B6137C-3072-3142-6130-4335C1DCD349,TN1744082691471093580760,675949 665984 3125,814,fail,28-01-2019,10:50
6D715579-8F2D-68B4-456B-F2B80DB6136B,BG13YNQG56248250173830,491 18895 98928 699,912,fail,10-09-2020,19:00
6EA07122-45DE-9286-229D-857E85997DE4,MD3943696764231398073241,3.65272E+14,292,fail,27-10-2018,20:10
9E1F2811-7DCC-044E-DBB0-C8ADB1AEEB86,AT074906672173860727,3.05328E+14,708,success,28-09-2020,01:15
111DCD66-C3B4-4828-492F-2B42B883710C,PT74660342708875430072555,4.53274E+15,836,success,08-07-2020,19:35
3D63948E-79C6-3516-8E86-E5A73155C295,AT816472202812720458,6.76183E+13,514,success,18-07-2018,01:18
4B053D8F-5E72-4FD7-A592-3B378A3C5FA8,PL55384572425574771280881884,5.03825E+11,708,fail,14-05-2020,03:05
7D53A64C-5223-0B93-BECF-A0D29B8E8834,IL937239836688177885564,675959 37 3228 3328 898,475,success,08-10-2019,14:18
7A6C018E-6D60-2ABC-812C-57BFAC9DFA06,LV10IARJ0518466261045,670987 248296 2715,557,fail,16-08-2018,14:00
EE91EC60-935F-7632-2BE2-14072C511A4C,BA852647751241174088,6.77139E+15,575,success,11-12-2019,18:58
4414684C-58A2-3D28-339C-F60615A79429,CZ5654513784342813284737,3044 274544 95368,75,fail,02-07-2019,13:26
B7B4999D-AA52-3194-B143-CC89BD895DB2,DE69875610413018452480,3738 778747 48638,200,fail,21-02-2019,14:28
08B5CD7E-22A4-CF32-B4AD-DFA1AF3E2461,GT32247393871695730088462907,2.01446E+14,337,fail,27-04-2021,00:41
99F0499E-A4E6-C5D8-129D-E383F038DA2D,GR5644537648845416535451853,5641 8224 8749 9784,552,success,26-07-2018,09:48
5726E880-C612-EC26-7488-562408EBA2D1,GT71343792882532733472505798,4.84486E+15,262,fail,05-06-2018,14:21
BD20C192-0AC6-C281-623C-6838889A8B08,DK9385553160383528,676756 73 3825 3736 774,67,success,25-08-2019,15:54
8906A170-6833-4A3F-8230-B2F7FA6E35C7,AE775401556258073168046,6.70698E+18,18,success,04-10-2020,08:37
24A1AA93-A759-BAC1-114C-B8B2D012D543,GL0788938584592842,6.30498E+15,541,fail,12-02-2020,06:42
ADD4A4CC-F26E-856E-AC5A-E2440A51CF92,LB23331125276289752154566047,3.02377E+14,873,fail,05-09-2019,22:51
69560893-3D0E-6792-C7E7-902DC8504A07,MK81755037911667608,484 48177 94738 648,536,success,16-11-2018,00:47
15FEA32A-97D7-4387-24D1-938763D88152,HR1515714695333046820,5782 444541 25510,655,success,31-08-2019,03:21
FCA4F2D9-3421-8743-46EE-2DE18215D177,BA227676165036732700,450 88767 46644 996,449,fail,25-05-2020,20:50
6E57493B-359B-D13D-2C69-82F917AE256A,SE8650371158647557154658,630453 473246 5811,16,fail,05-04-2021,17:47
9EFC2E66-75C5-821E-B9A7-6DAB2263F6ED,PL41457852336205163865187081,491 79456 44643 551,595,fail,27-02-2019,23:11
A3995480-38C9-760C-2A9F-B38A09142280,FO3272135823974105,3015 664487 64372,118,success,19-05-2019,15:21
FD33B2A3-0140-C899-E21D-D4B9944A5CA1,DK2420285638676196,3.79145E+14,361,success,08-04-2021,23:26
F209DD27-E24A-24E2-CBDE-297739D39CAD,MC5332319885608332503376463,3632 283747 34375,885,fail,10-10-2018,08:08
265D2542-13D2-DA6E-716C-860E11755164,AT768142316264020281,3.49762E+14,33,fail,10-04-2020,20:29
E7948DB9-737E-3262-1DA7-506367A92319,BE14377241653217,649654 296842 3253,885,success,22-06-2018,10:42
59CCD8CC-6C4A-8E84-95E6-DB5687343137,SA2439651830557213392486,4485 7243 8395 4327,523,success,03-12-2019,21:21
FB88EB5A-C3DD-3B98-4687-8A73243D53A8,IL817222951156045432288,2149 524542 85327,480,success,21-03-2019,10:46
FA0CB58A-41B4-DF5C-B6BA-2AD51549651D,VG6932713659062244181024,675988 184747 5684,351,success,29-11-2019,04:26
CDD4C65D-B867-909C-BB66-C4859E1D6AB8,DK7872494718241408,4.17501E+15,579,success,16-11-2018,06:34
F1A345DE-15AD-A825-33BB-D6997318251B,SA4274321327374077098665,6761 835 44 5633,894,success,04-01-2019,02:39
8983E720-4125-95CA-AF11-5E3ABAC1C729,NO7324631856783,402646 265176 1258,892,fail,08-12-2018,13:46
726BD3A6-B778-6328-B2A4-A755C73C95DA,LV72KDXQ2871112253952,3724 258889 57224,831,fail,29-08-2018,10:12
03D5A268-B96B-1781-74E4-B6A8FF381D85,AZ07963985229313454256945328,471623 4383856770,406,success,18-12-2020,18:29
651AD38F-8D6D-4A76-A1CD-5086F2172C12,IE27RBDR28286451386412,6709 1239 3186 4551,817,fail,07-07-2020,00:08
A59CCC2E-6D27-7CDE-D087-64BB4C5D8FB2,KW2584539185961823713383273702,3.02321E+14,462,success,13-10-2019,16:26
1EDD8720-6938-1BB1-85FB-2BBB68CC8B51,ES4715116600858526384167,6497 5273 2845 8890,511,success,23-10-2020,10:07
F1BF1C51-7A84-5484-AE1E-BCDACDF43DC9,SA7872574709871197276783,417500 5199862184,484,success,01-06-2019,17:33
E78A3981-2EC1-4445-D320-0ED4676E1FD2,SI23524195239533515,630463 537626 3410,804,success,27-11-2018,19:37
A1A945CE-1B5B-3E4C-2331-E3C1DA66F883,FI8871143067607842,676 78911 99947 263,561,fail,29-08-2020,08:25
1DB21A72-41D7-139B-1051-68947B7346C9,RO82TZDH7657758862172114,5.29165E+15,573,fail,07-11-2020,18:15
9C9918B1-71B8-2BC2-161C-61B0E3D2621C,RO10OKVJ8235920051931737,6.30483E+11,98,success,14-01-2020,06:24
7DB13192-30BE-5266-D8C2-6ED629C1BEB4,MT80PBFX26723851814188253666665,490568 74 4652 5527 334,219,success,07-01-2021,13:51
C6444CC0-711E-55F6-904C-4E6214A16B68,VG3853461229137563246398,491143 2966895735,707,fail,20-04-2021,01:54
67A13CF7-4981-6844-CA18-EBAC2DED923D,CY16362639174739321753351223,633353 7833774820,80,success,10-01-2020,19:13
9D10BAA7-AC42-AD11-AB9C-3E23293D1A97,PK4811479791263539093327,5.27482E+15,967,success,29-03-2020,13:12
5CF5D887-D37D-489B-DAE6-4A24A960993F,IL718357112351577673852,4.93639E+18,496,success,09-12-2018,03:12
33CC6743-405E-3C7B-21E8-423017DCB5F6,KZ040621161905475214,630433 7572831351,512,fail,17-02-2021,16:19
9BCA201A-02CD-2891-A46E-B8DCFD2E082E,FR6214262511452791141877587,6.70628E+17,574,success,09-02-2021,13:38
5C4AEDA3-A339-1DC2-C56A-9B38DEF59DE7,NL71ZEYC4018410202,536 33428 85725 710,888,fail,15-10-2019,13:25
0FE96EEB-4286-2296-5929-A774A69578B8,ES0826383552609757196472,2.01453E+14,301,success,13-09-2020,03:15
DF1D7382-BEE2-C25A-CD98-7244D6BE0AC9,BE72542981684492,6.77129E+18,292,success,02-03-2021,00:15
486E347D-337C-4E8A-2C4A-43BDD1916B51,ES6299578622452357262900,6.70667E+17,848,success,29-03-2021,20:44
65249B87-561A-7314-E5A1-99C7D42DE56D,AZ35216850156259806535842904,4844 9238 3462 6585,944,success,09-02-2021,18:07
B65881E1-AC51-8B25-56C4-9C7D64588842,BE98133144618291,484481 676229 6464,416,fail,15-09-2019,17:08
8517D84D-DF46-4929-5B5B-9AE09DE073F4,IT509ZUYPI08235161772666344,3785 588345 83233,952,fail,10-09-2018,17:43
ABBC11AA-1938-9410-4250-214924C25B0B,CY33641351463262813199851351,5412 9225 8222 7382,563,fail,02-01-2019,16:25
49303CD8-54AA-C61D-A599-208C5B6A4B95,SI63685691366412108,5143 8738 3934 4627,541,success,29-02-2020,14:33
147E7452-4E1F-054A-AC17-A004D2CBBE96,GT56343266829156162745245058,6.70923E+15,167,success,21-03-2020,06:24
8E66CED6-CC83-0406-6718-2A79479C8532,CH3725751898773531674,6.44329E+15,108,fail,23-02-2020,14:58
799B2A87-699A-60E8-68CF-F9569BD57E07,FO3242136121778312,2.14939E+14,433,fail,20-11-2018,12:09
92989578-EB64-E3E3-B791-E4628F26593B,HR5136940391618487521,3.0082E+14,270,fail,20-04-2019,12:49
0D1D9D2E-BE1C-640A-23AF-86ED911D12BD,SI12523452293972871,484 46595 93638 631,482,success,30-12-2020,11:59
9CA84BCC-CB33-7CAC-EFBB-DC82951E585D,TN7831875836763249760327,484455 158121 5151,134,success,11-09-2018,18:56
653B2383-BB3E-9E3E-C246-B9E1EE329FD6,LB76231424138924525318366714,3.03217E+14,870,success,11-04-2021,13:49
DDC5B386-1ADA-4A9D-3A76-C583B4E4DB91,LV78LBTX4668604717267,5.58419E+15,331,fail,14-11-2019,02:34
2AAFF5A9-BDC5-4DC6-D101-153D92565527,GE87909562161937688495,478592 6468146516,115,fail,27-08-2018,04:07
2473119B-0599-8C09-4EC6-85E42DE4B4B4,BH86751557181649879284,542226 961433 8474,436,success,17-04-2020,19:40
A22BF6E3-A143-0D9B-7633-A1BFC0C3A3C6,GB11DKJC53804633875632,538717 592645 9465,147,success,22-07-2018,20:22
FBB4F225-4354-C118-1A37-DAD2C6FC9991,PL23243333236954719442372081,455664 625528 2392,79,fail,20-10-2019,12:25
3F868434-AD8D-6B34-876F-BC7675A67E1E,FR9166324495161011947421286,6763 365177 43453,463,success,12-09-2020,23:29
06C7B3EA-8692-52D9-EF0B-E8FCBF489785,HU52221143831939536368311971,2.14945E+14,406,success,20-05-2019,16:50
67968588-1E9E-B836-60AD-A9C24418C45B,AL59797828256417183357305052,3471 662492 45683,847,success,28-09-2019,14:07
CA76D7B2-3854-94A2-6437-0F07A34CD8D9,CY21357032853590373884333836,490535 546746 2424,962,success,14-08-2018,12:48
AD6D1C74-7405-3D5B-2B73-5623E75652BB,MT05MITZ91354369658450283104563,490 54724 72746 392,876,success,01-11-2020,02:52
91537547-617C-5F8D-69D3-DCA26A6BEE74,IL916110798760783208873,3614 681432 42167,421,fail,28-05-2021,09:27
565D0513-E33D-584D-BF22-CBB5675BA224,DK8888646264472655,6.30425E+18,394,success,29-07-2020,12:28
6B912795-10CF-4185-948C-2694161B6A98,AZ40565352535714969742380834,658836 2317265829,322,fail,03-10-2020,14:59
9515417D-1A3B-9181-16AB-005AC0E85560,DE69545575173666357312,544293 878792 2266,335,success,15-04-2019,21:46
6963562E-D0E2-BCD8-1971-E2786064826C,CZ8339156354332576632821,3.67519E+14,577,success,03-08-2018,15:33
